stage,topic,level,question,option_a,option_b,option_c,option_d,correct_option,explanation,question_type,question_order
1,Money Basics,1,What is the primary difference between simple interest and compound interest?,Simple earns interest only on principal; compound earns interest on principal plus accumulated interest,Simple interest is paid monthly; compound interest is paid annually,Simple interest is always higher than compound interest,Compound interest applies only to savings accounts,A,"With simple interest, I = P×r×t. With compound interest, interest is periodically added to the principal, so future interest also earns interest — dramatically accelerating growth over time.",core,1
1,Money Basics,1,What is the Rule of 72 and how is it applied?,Divide 72 by the annual interest rate to estimate the number of years to double an investment,Multiply 72 by your return rate to find total portfolio value,Divide your savings balance by 72 to find your monthly contribution requirement,72 minus your age equals the percentage to hold in equities,A,"At 6% annual return, 72÷6 = 12 years to double. This mental math shortcut also works in reverse: at 3% inflation, purchasing power halves in 24 years.",core,1
1,Money Basics,1,What is the sequence of returns risk in retirement and why does it matter more than average returns?,"Poor early returns force more share liquidation, depleting the portfolio before recovery — average returns don't capture this timing effect",High returns early in retirement accelerate portfolio depletion through excess withdrawals,"Sequence risk only matters for bond portfolios, not stock-heavy ones",Average returns fully predict retirement portfolio outcomes when combined with withdrawal rates,A,"Two retirees with identical average returns but different timing can have vastly different outcomes. A 30% drop in year one forces selling more shares, permanently reducing the base available for recovery.",core,1
1,Money Basics,1,What is the Efficient Market Hypothesis (EMH) and what are its three forms?,"EMH states prices reflect all available information; weak (past prices), semi-strong (public info), strong (all info including insider)",EMH states only institutional investors can consistently beat the market in three distinct timeframes,"EMH has two forms: fundamental and technical, both asserting markets are always correctly priced",EMH claims diversification eliminates all investment risk across three asset classes,A,Weak form: technical analysis can't beat the market. Semi-strong: fundamental analysis can't either. Strong: even insider trading can't generate excess returns. Most evidence supports semi-strong form.,core,1
1,Money Basics,1,What is the Sharpe Ratio formula and what does it measure in portfolio management?,Sharpe Ratio = (Portfolio Return − Risk-Free Rate) / Standard Deviation; measures risk-adjusted return per unit of total volatility,Sharpe Ratio = Portfolio Return / Beta; measures return relative to market risk,Sharpe Ratio = Alpha / Beta; measures manager skill relative to market exposure,Sharpe Ratio = (Return − Inflation) / Duration; measures real return per year of investment,A,"A Sharpe Ratio of 1.0 means you earn 1% excess return per 1% of volatility. Higher is better. It allows comparing portfolios with different risk levels on equal footing, though it uses total volatility (not just downside).",core,1
1,Money Basics,1,"Which budgeting method allocates 50% to needs, 30% to wants, and 20% to savings and debt repayment?",The 50/30/20 rule,The zero-based budget,The envelope method,The pay-yourself-first method,A,"Popularized by Elizabeth Warren, the 50/30/20 rule is a simple percentage framework. It differs from zero-based budgeting (every dollar assigned) and the envelope method (cash in physical envelopes).",core,2
1,Money Basics,1,What distinguishes a Roth IRA from a Traditional IRA regarding tax treatment?,Roth contributions are after-tax with tax-free withdrawals; Traditional contributions are pre-tax with taxable withdrawals,Roth has higher contribution limits than Traditional IRAs,Traditional IRA withdrawals are tax-free; Roth withdrawals are taxed,Both accounts have identical tax treatment but different investment options,A,Roth is better if you expect higher taxes in retirement; Traditional is better if you expect lower taxes. The key trade-off is paying taxes now (Roth) vs. deferring them (Traditional).,core,2
1,Money Basics,1,How does tax-loss harvesting work and what is the wash-sale rule's role?,Selling losing positions to offset capital gains; the wash-sale rule prevents repurchasing the same security within 30 days before or after,Deferring capital gains by holding assets over one year; wash-sale prevents selling at a loss,Converting traditional IRAs to Roth accounts; wash-sale prevents double taxation,Harvesting dividend income in tax-advantaged accounts; wash-sale applies to dividend reinvestment,A,"Tax-loss harvesting reduces your tax bill by realizing losses that offset gains. The IRS wash-sale rule prevents immediately buying back the same security, which would make the loss purely cosmetic.",core,2
1,Money Basics,1,What is behavioral finance and how does loss aversion specifically affect investor decision-making?,"Behavioral finance studies psychological biases; loss aversion causes investors to feel losses ~2× more intensely than equivalent gains, leading to excessive risk avoidance",Behavioral finance focuses on corporate financial statements; loss aversion causes investors to over-diversify,Loss aversion refers to investors always choosing lower-risk assets regardless of return expectations,"Behavioral finance only studies retail investor behavior, not institutional decision-making",A,"Kahneman and Tversky's prospect theory shows losses loom larger than gains psychologically. This leads to holding losers too long, selling winners too early (disposition effect), and refusing good-risk-adjusted opportunities.",core,2
1,Money Basics,1,What distinguishes the Sortino Ratio from the Sharpe Ratio and when is it more appropriate?,Sortino uses only downside deviation (not total volatility) in the denominator; more appropriate when return distributions are asymmetric or positively skewed,Sortino replaces the risk-free rate with inflation; appropriate for real return measurement,Sortino adds a skewness adjustment to the Sharpe Ratio for non-normal distributions,Sortino uses median return instead of mean return; appropriate for illiquid asset classes,A,"Sharpe penalizes upside volatility equally with downside. Sortino correctly penalizes only downside risk. For a fund with occasional large gains (right-skewed), Sortino is more flattering and arguably more accurate.",core,2
1,Money Basics,1,What does it mean when a savings account has an APY of 4.5%?,Your money grows by 4.5% per year including compounding effects,You earn exactly 4.5 cents for every dollar deposited,The bank charges you 4.5% annually for holding your funds,You must deposit 4.5% of your income monthly,A,"APY (Annual Percentage Yield) reflects the real rate of return after accounting for compounding within the year, making it more accurate than the nominal APR for comparing savings products.",core,3
1,Money Basics,1,What is dollar-cost averaging and what behavioral bias does it help overcome?,Investing a fixed amount regularly regardless of price; it overcomes market timing temptation,Investing a lump sum when prices are lowest; it overcomes loss aversion,Diversifying equally across all asset classes; it overcomes overconfidence,Rebalancing a portfolio quarterly; it overcomes recency bias,A,"DCA removes the emotional decision of 'when to invest.' By investing consistently, you automatically buy more shares when prices fall and fewer when they rise, lowering your average cost.",core,3
1,Money Basics,1,"What is the difference between nominal and real interest rates, and what formula connects them?",Nominal is the stated rate; real adjusts for inflation; connected by: Real Rate ≈ Nominal Rate − Inflation Rate,Real rate is always higher than nominal rate in a growing economy,Nominal rate accounts for taxes; real rate does not,The Fisher equation states: Nominal = Real × Inflation Rate,A,The Fisher equation (exact): (1 + nominal) = (1 + real)(1 + inflation). The approximation (nominal − inflation) works well for low rates. A 5% nominal return during 3% inflation yields only ~2% real return.,core,3
1,Money Basics,1,What is a 1031 exchange and what are the two critical time deadlines investors must meet?,"A tax-deferred real estate exchange; 45 days to identify replacement property, 180 days to close",A tax-deferred stock exchange; 30 days to identify and 90 days to execute,A business succession strategy; 60 days to identify and 120 days to finalize,A charitable giving vehicle; no time limits apply,A,"Under IRC §1031, selling real estate and reinvesting proceeds into like-kind property defers capital gains taxes. Miss either deadline and the entire tax deferral is lost — making strict timeline management critical.",core,3
1,Money Basics,1,What is factor investing and which five factors does academic research consistently identify as return drivers?,"Targeting securities with empirically validated characteristics; five factors: market risk, size, value, momentum, and profitability/quality","Investing based on macroeconomic forecasts; five factors: GDP, inflation, employment, rates, and trade balance","Active stock picking with five screens: P/E, P/B, dividend yield, beta, and analyst rating","Passive index investing with five tilts: large-cap, growth, international, bonds, and real estate",A,The Fama-French five-factor model (2015) captures persistent return premiums. Factor ETFs attempt to exploit these academically-documented sources of excess return at relatively low cost.,core,3
1,Money Basics,1,What is the difference between a tax deduction and a tax credit?,A deduction reduces taxable income; a credit directly reduces tax owed dollar-for-dollar,A deduction is refundable; a credit is not,A credit reduces taxable income; a deduction reduces tax owed,Both have identical effects on your total tax bill,A,"A $1,000 deduction saves you only your marginal rate × $1,000 (e.g., $220 at 22%), while a $1,000 tax credit saves you the full $1,000 — making credits more valuable.",core,4
1,Money Basics,1,What is a marginal tax rate and how does it differ from an effective tax rate?,Marginal is the rate on your last dollar earned; effective is the average rate paid across all income,Marginal and effective rates are the same for most middle-income earners,Effective rate applies to capital gains; marginal rate applies to ordinary income only,Marginal rate is always lower than effective rate,A,"A 24% marginal rate doesn't mean you pay 24% on all income. The U.S. progressive system taxes each bracket separately, so your effective rate is always lower than your marginal rate.",core,4
1,Money Basics,1,What is an HSA triple tax advantage and who is eligible to contribute?,"Contributions are tax-deductible, growth is tax-free, and qualified withdrawals are tax-free; requires enrollment in a high-deductible health plan (HDHP)","Contributions, growth, and withdrawals are all taxed at 15%; requires any employer health insurance","Pre-tax contributions, taxable growth, tax-free withdrawals; requires Medicare enrollment",After-tax contributions with no taxes on growth; available to anyone with health insurance,A,"HSAs are uniquely powerful: the only account with three tax advantages. Unused funds roll over indefinitely and after age 65 can be used for any purpose (taxed as ordinary income), making them function like a stealth IRA.",core,4
1,Money Basics,1,What is a qualified opportunity zone (QOZ) and what are its three potential tax benefits?,"A designated low-income investment area; benefits include capital gains deferral, partial step-up, and permanent exclusion if held 10+ years","A retirement account with three tax brackets: 0%, 15%, and 20%","A municipal bond offering federal, state, and local tax exemptions","A real estate zone with accelerated depreciation, bonus depreciation, and cost segregation benefits",A,"QOZ benefits stack: defer original gains until 2026, receive a partial step-up in basis (reducing taxable gain), and pay zero tax on QOZ appreciation if held 10+ years. Created by the Tax Cuts and Jobs Act 2017.",core,4
1,Money Basics,1,What is convexity in bond investing and why does it matter beyond duration?,Convexity measures the curvature of the price-yield relationship; bonds with higher convexity gain more when rates fall and lose less when rates rise than duration alone predicts,Convexity measures the frequency of coupon payments relative to bond maturity,Convexity is the second derivative of bond price with respect to credit spread changes,"Convexity adjusts bond yields for inflation, making real returns comparable across maturities",A,"Duration provides a linear approximation of price changes. Convexity corrects this: for large rate moves, the actual price change curve is convex (bowed). Positive convexity is desirable — you're helped more than hurt by big rate swings.",core,4
1,Money Basics,1,What is opportunity cost in personal financial decision-making?,The value of the best alternative you gave up when making a choice,The interest cost of borrowing money for a purchase,The difference between gross and net income,The penalty for withdrawing retirement savings early,A,Every financial choice has a hidden cost: buying a car with savings means losing potential investment returns. Recognizing opportunity cost leads to more deliberate financial decisions.,core,5
1,Money Basics,1,How does liquidity affect financial planning decisions?,More liquid assets allow faster access to cash but typically offer lower returns; a balance is essential,Maximum liquidity always maximizes total wealth over time,"Liquidity only matters for businesses, not personal finance",Liquid assets always outperform illiquid investments in the long run,A,"Cash (high liquidity, low return) vs. real estate (low liquidity, potentially high return) illustrates the trade-off. Emergency funds need liquidity; long-term savings can tolerate illiquidity for better returns.",core,5
1,Money Basics,1,What is a backdoor Roth IRA conversion and why do high earners use it?,Making a non-deductible Traditional IRA contribution then converting to Roth to bypass income limits,Withdrawing from a Traditional IRA early and redepositing into a Roth without penalty,Rolling over a 401(k) directly into a Roth IRA after leaving a job,Converting a SEP-IRA to a Roth IRA to avoid required minimum distributions,A,"In 2024, direct Roth IRA contributions phase out above $146K (single) / $230K (married). The backdoor strategy bypasses this by contributing to a non-deductible Traditional IRA first, then immediately converting it.",core,5
1,Money Basics,1,What is the step-up in basis at death and how does it interact with estate planning strategies?,"Inherited assets are reset to fair market value at death, eliminating capital gains tax on lifetime appreciation",Inherited assets are taxed at a stepped-up rate of 28% regardless of holding period,"The step-up only applies to real estate, not stocks or business interests",The step-up reduces the estate tax owed but doesn't affect capital gains calculations,A,"If a parent bought stock for $10K and it's worth $500K at death, heirs inherit it at $500K basis — zero capital gains if sold immediately. This makes the 'buy, borrow, die' strategy powerful for wealth transfer.",core,5
1,Money Basics,1,What is a total return swap and how do hedge funds use it to gain synthetic leverage?,A contract exchanging total return (price appreciation + income) of a reference asset for a fixed/floating payment; hedge funds gain full economic exposure without owning the asset,"A swap exchanging dividend income for fixed interest, used to convert equity to debt exposure",A fixed-income derivative paying the difference between two bond yields across maturities,A currency swap converting foreign investment returns into USD without FX risk,A,TRS lets a fund gain $100M of equity exposure with minimal upfront capital — the bank owns the asset and receives the fixed leg; the fund receives all price gains and dividends. This creates off-balance-sheet leverage.,core,5
1,Money Basics,1,How does inflation erode purchasing power over time?,"Rising prices mean each dollar buys fewer goods, reducing the real value of money held in cash",Inflation increases the nominal value of all assets proportionally,"Inflation only affects imported goods, not domestic spending",Inflation always increases wages at the same rate as prices,A,"At 3% annual inflation, $100 today buys only ~$74 worth of goods in 10 years. Holding too much cash long-term is a subtle but real financial risk.",reinforcement,6
1,Money Basics,1,What is the time value of money (TVM) principle and what are its two core components?,Money today is worth more than the same amount in the future; core components are present value and future value,Money always grows at inflation rate; components are nominal and real returns,Future money is worth more due to guaranteed investment gains; components are risk and return,Time value only applies to borrowed money; components are principal and interest,A,"TVM underlies all finance: $1,000 today invested at 7% becomes $1,967 in 10 years. PV is what a future sum is worth today; FV is what a present sum grows to.",reinforcement,6
1,Money Basics,1,How does the alternative minimum tax (AMT) work and who is most likely to trigger it?,AMT is a parallel tax system recalculating income by disallowing certain deductions; taxpayers pay whichever is higher,AMT is an additional 3.8% surtax on investment income above $200K,AMT replaces the regular income tax for earners above $500K,AMT only applies to capital gains and dividend income,A,AMT disallows deductions like state/local taxes and certain incentive stock option spreads. You calculate both regular and AMT liability and pay the higher. It most often affects upper-middle earners with high state taxes or ISOs.,reinforcement,6
1,Money Basics,1,What is FATCA and what obligations does it impose on foreign financial institutions?,Foreign Account Tax Compliance Act requires foreign banks to identify and report US account holders' assets to the IRS or face 30% withholding,A US tariff law requiring foreign companies to disclose US revenue to the Treasury,A banking regulation requiring US citizens to report foreign accounts above $50K,An IRS rule that taxes US citizens on foreign income at a flat 30% rate,A,"FATCA (2010) combats offshore tax evasion. Foreign Financial Institutions (FFIs) must enter agreements with the IRS to report US clients, or face 30% withholding on US-source payments.",reinforcement,6
1,Money Basics,1,What is the information ratio and how does it differ from the Sharpe Ratio in evaluating active managers?,"IR = Active Return / Tracking Error; it measures manager skill relative to a benchmark, while Sharpe measures excess return over the risk-free rate relative to total volatility",IR adds inflation adjustment to the Sharpe Ratio for institutional managers,"IR uses Jensen's alpha instead of excess return, making it suitable for multi-asset portfolios",IR and Sharpe are identical except IR uses annualized instead of monthly data,A,"IR = (Portfolio Return − Benchmark Return) / Tracking Error. A high IR (>0.5) indicates consistent benchmark-beating skill. Unlike Sharpe, it isolates the active management decision from the market beta contribution.",reinforcement,6
1,Money Basics,1,What is the purpose of an emergency fund and what size is typically recommended?,To cover unexpected expenses; typically 3–6 months of essential living costs,To invest in opportunities quickly; typically 1 month of income,To pay off debt faster; typically 10% of annual salary,To fund vacations and large purchases; typically 2 months of expenses,A,"An emergency fund prevents you from going into debt when job loss, medical bills, or car repairs strike. It should be liquid (savings account), not invested in volatile assets.",reinforcement,7
1,Money Basics,1,What is a debt-to-income (DTI) ratio and what threshold do mortgage lenders typically require?,Monthly debt payments ÷ gross monthly income; lenders typically require DTI below 43%,Total debt ÷ annual income; lenders require below 100%,Monthly expenses ÷ net income; lenders require below 50%,Total liabilities ÷ total assets; lenders require below 80%,A,"DTI measures your ability to manage monthly payments. Most conventional mortgage lenders cap at 43% DTI, though 36% or below is considered healthy for overall financial stability.",reinforcement,7
1,Money Basics,1,What is the purpose of asset-liability matching in personal financial planning?,Aligning the maturity and duration of assets with the timing of known future financial obligations,Keeping an equal dollar amount of assets and liabilities at all times,Matching investment returns to the rate of inflation,Diversifying across asset classes to reduce portfolio volatility,A,"ALM ensures liquidity when needed: a bond maturing when a child starts college, or an annuity starting at retirement. It eliminates the need to sell long-term assets at potentially bad times.",reinforcement,7
1,Money Basics,1,How does a grantor retained annuity trust (GRAT) transfer wealth with minimal gift tax?,"The grantor transfers appreciating assets into a trust, retains annuity payments, and passes appreciation to heirs gift-tax free if the asset outperforms the IRS hurdle rate",GRATs convert ordinary income to capital gains for estate tax reduction,GRATs defer estate taxes by holding assets in trust for 10 years before transfer,"The grantor pays gift tax upfront on all assets transferred, then receives it back as an annuity",A,"GRATs work by beating the IRS §7520 hurdle rate. If a $10M asset transferred to a GRAT grows at 15% vs. the 5% hurdle rate, the excess passes to heirs with zero gift tax — a powerful tool for wealthy families.",reinforcement,7
1,Money Basics,1,What is the Black-Litterman model and how does it improve upon mean-variance optimization?,"It combines market equilibrium returns with investor views using Bayesian updating, producing more stable and diversified portfolios than mean-variance which is highly sensitive to return estimates",It replaces standard deviation with downside deviation in the mean-variance framework for better risk modeling,It adds factor exposures to the Markowitz model to create risk parity portfolios,It uses Monte Carlo simulation instead of historical returns to estimate the efficient frontier,A,"Markowitz MVO produces extreme, concentrated portfolios from small changes in return inputs. Black-Litterman starts from market-implied equilibrium weights and lets managers tilt toward their views with a confidence weighting, producing more sensible allocations.",reinforcement,7
1,Money Basics,1,What is the net worth formula and why is it an important financial metric?,Net Worth = Total Assets − Total Liabilities; it measures your overall financial health snapshot,Net Worth = Annual Income − Annual Expenses; it tracks monthly cash flow,Net Worth = Savings + Investments; it excludes all debts,Net Worth = Gross Income − Taxes; it shows take-home pay,A,Net worth captures the full financial picture: what you own minus what you owe. Tracking it over time shows whether you're building wealth or accumulating debt faster than assets.,reinforcement,8
1,Money Basics,1,"What is a FICO score, what range is it scored on, and which factor carries the most weight?",A credit score from 300–850; payment history (35%) carries the most weight,A wealth score from 1–100; income level (40%) carries the most weight,A credit score from 500–900; credit utilization (50%) carries the most weight,A debt score from 0–1000; length of credit history (45%) carries the most weight,A,"FICO weights: payment history 35%, amounts owed 30%, length of history 15%, new credit 10%, credit mix 10%. A 760+ score typically qualifies for the best interest rates.",reinforcement,8
1,Money Basics,1,What is a Monte Carlo simulation used for in retirement financial planning?,Running thousands of random market scenarios to estimate the probability that a retirement portfolio will last a given number of years,Calculating the exact future value of a portfolio using expected average returns,Determining the guaranteed safe withdrawal rate for any portfolio,Modeling the best single investment strategy based on historical data,A,"Rather than assuming a fixed return, Monte Carlo introduces randomness reflecting real market volatility. A planner might say '87% probability the portfolio lasts 30 years' based on thousands of simulated paths.",reinforcement,8
1,Money Basics,1,What is the net investment income tax (NIIT) and how does it interact with capital gains rates?,"A 3.8% surtax on net investment income (interest, dividends, capital gains) for taxpayers above $200K single / $250K married, stacked on top of regular capital gains rates",A 3.8% flat tax replacing regular capital gains rates for all investors,A surtax only on short-term capital gains for high earners above $500K,A 3.8% tax credit that offsets ordinary income tax for investment losses,A,"NIIT was introduced by the ACA (2013). For high earners, long-term capital gains can face 20% + 3.8% NIIT = 23.8% total rate. It applies to the lesser of net investment income or MAGI above the threshold.",reinforcement,8
1,Money Basics,1,What is the volatility smile/skew in options markets and what does it reveal about market expectations?,"Implied volatility varies across strike prices, forming a skew; this reveals that markets price downside risk (low strikes) at higher IV than upside — reflecting fear of crashes",The volatility smile shows that at-the-money options always have the lowest implied volatility regardless of market conditions,"Volatility skew only exists in commodity options, not equity or index options",The smile pattern indicates options markets consistently underestimate actual future volatility,A,"Post-1987 crash, equity markets show persistent negative skew (higher IV for low strikes). This violates Black-Scholes's constant-volatility assumption and is captured by models like SABR or Heston that allow stochastic volatility.",reinforcement,8
2,Investing & Wealth,1,What is the difference between systematic (market) risk and unsystematic (idiosyncratic) risk?,Systematic risk affects the whole market and cannot be diversified away; unsystematic risk is company-specific and can be reduced through diversification,Systematic risk only affects large-cap stocks; unsystematic risk affects small-cap stocks,Both types of risk can be eliminated through sufficient diversification,Unsystematic risk affects bond markets; systematic risk affects equity markets,A,"Recessions, rate changes, and wars are systematic risks you can't escape by owning 500 stocks. A company-specific scandal is unsystematic — owning many companies neutralizes it in a portfolio.",core,1
2,Investing & Wealth,1,What is the Capital Asset Pricing Model (CAPM) formula and what does each component represent?,"E(R) = Rf + β(Rm − Rf); Rf is risk-free rate, β is beta, (Rm−Rf) is market risk premium representing compensation for systematic risk","E(R) = Alpha + Beta × Market Return; Alpha is manager skill, Beta is market correlation",E(R) = Dividend Yield + Capital Gains Rate; both adjusted for inflation and beta,E(R) = Rf × β + Rm; representing compounded risk-free return adjusted by market exposure,A,CAPM prices systematic risk: a stock with beta 1.5 should earn 1.5× the market risk premium above the risk-free rate. It's the foundation of modern portfolio pricing despite its simplifying assumptions.,core,1
2,Investing & Wealth,1,What is the Fama-French three-factor model and what anomalies does it explain beyond CAPM?,"It adds size (SMB) and value (HML) factors to CAPM's market risk, explaining why small-cap and value stocks historically earn excess returns that CAPM cannot",It adds momentum and quality factors to CAPM to improve return predictions,It replaces beta with three alternative risk measures based on balance sheet data,"It uses GDP growth, inflation, and interest rates as three macro risk factors alongside market return",A,SMB (Small Minus Big) and HML (High Minus Low book-to-market) capture return premiums unexplained by market beta. Whether these represent risk compensation or market inefficiency remains debated.,core,1
2,Investing & Wealth,1,What is the Modigliani-Miller theorem and under what conditions does capital structure become irrelevant?,"In perfect capital markets (no taxes, no bankruptcy costs, no information asymmetry), firm value is independent of capital structure — debt vs. equity financing doesn't matter",Capital structure is irrelevant only for firms with zero debt and purely equity financing,MM theorem states that dividend policy determines firm value regardless of capital structure,Firm value depends entirely on capital structure when markets are efficient,A,"MM (1958) established the baseline: in a frictionless world, how you finance a firm doesn't affect its value. Real-world deviations (taxes favor debt via interest deduction; bankruptcy costs disfavor it) explain optimal capital structure.",core,1
2,Investing & Wealth,1,What is the Heston stochastic volatility model and how does it improve on Black-Scholes?,"Heston allows volatility to follow a mean-reverting stochastic process (CIR), capturing the volatility smile and term structure that Black-Scholes misses with its constant volatility assumption",Heston adds jump processes to Black-Scholes to model sudden price discontinuities,Heston replaces the log-normal return assumption with a Student-t distribution for fat tails,Heston extends Black-Scholes by adding stochastic interest rates alongside fixed volatility,A,"Heston (1993) has a semi-analytical solution (via characteristic functions), making it tractable for calibration. Key parameters: mean-reversion speed (κ), long-run variance (θ), vol-of-vol (σ), and correlation between asset and vol processes (ρ).",core,1
